Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_7_200,VDD,Metal1,103.4490,42.1780,1.199979
FILLER_7_193,VDD,Metal1,100.0890,42.1780,1.199993
FILLER_7_153,VDD,Metal1,79.4400,41.5800,1.199992
FILLER_7_144,VDD,Metal1,75.3600,41.5800,1.199967
FILLER_7_128,VDD,Metal1,67.4400,41.5800,1.199962
FILLER_7_126,VDD,Metal1,66.7200,41.5800,1.199962
FILLER_7_92,VDD,Metal1,50.4000,41.5800,1.199960
FILLER_7_88,VDD,Metal1,48.9710,42.1760,1.199960
FILLER_7_81,VDD,Metal1,46.3290,42.1780,1.199960
FILLER_7_74,VDD,Metal1,42.9690,42.1780,1.199960
FILLER_7_67,VDD,Metal1,39.6090,42.1780,1.199982
FILLER_7_60,VDD,Metal1,36.2490,42.1780,1.199985
FILLER_7_53,VDD,Metal1,31.6800,41.5800,1.199989
FILLER_7_46,VDD,Metal1,29.5290,42.1780,1.199989
FILLER_7_39,VDD,Metal1,26.1690,42.1780,1.199992
FILLER_7_32,VDD,Metal1,22.8090,42.1780,1.199995
FILLER_7_25,VDD,Metal1,19.4490,42.1780,1.199998
FILLER_7_18,VDD,Metal1,16.0890,42.1780,1.199998
FILLER_7_11,VDD,Metal1,12.7290,42.1780,1.199997
FILLER_7_4,VDD,Metal1,9.3690,42.1780,1.199996
FILLER_6_307,VDD,Metal1,153.6000,41.5800,1.199974
FILLER_6_303,VDD,Metal1,152.1710,40.9830,1.199977
FILLER_6_296,VDD,Metal1,149.5290,40.9810,1.199977
FILLER_6_289,VDD,Metal1,146.1690,40.9810,1.199977
FILLER_6_282,VDD,Metal1,142.8090,40.9810,1.199977
FILLER_6_275,VDD,Metal1,139.4490,40.9810,1.199977
FILLER_6_268,VDD,Metal1,136.0890,40.9810,1.199978
FILLER_6_261,VDD,Metal1,132.7290,40.9810,1.199978
FILLER_6_254,VDD,Metal1,129.3690,40.9810,1.199978
FILLER_6_247,VDD,Metal1,126.0090,40.9810,1.199978
FILLER_6_240,VDD,Metal1,122.6490,40.9810,1.199978
FILLER_6_233,VDD,Metal1,119.2890,40.9810,1.199979
FILLER_6_226,VDD,Metal1,115.9290,40.9810,1.199979
FILLER_6_189,VDD,Metal1,96.7200,41.5800,1.199993
FILLER_6_185,VDD,Metal1,95.5310,40.9830,1.199995
FILLER_6_178,VDD,Metal1,92.8890,40.9810,1.199994
FILLER_6_171,VDD,Metal1,89.5290,40.9810,1.199994
FILLER_6_160,VDD,Metal1,84.2490,40.9810,1.199994
FILLER_6_153,VDD,Metal1,80.8890,40.9810,1.199992
FILLER_6_142,VDD,Metal1,75.6090,40.9810,1.199967
FILLER_6_117,VDD,Metal1,63.6090,40.9810,1.199960
FILLER_6_113,VDD,Metal1,60.2400,41.5800,1.199960
FILLER_6_111,VDD,Metal1,59.5200,41.5800,1.199960
FILLER_6_104,VDD,Metal1,57.3690,40.9810,1.199960
FILLER_6_70,VDD,Metal1,40.3310,40.9830,1.199982
FILLER_6_63,VDD,Metal1,37.6890,40.9810,1.199985
FILLER_6_56,VDD,Metal1,34.3290,40.9810,1.199988
FILLER_6_49,VDD,Metal1,30.9690,40.9810,1.199989
FILLER_6_42,VDD,Metal1,27.6090,40.9810,1.199992
FILLER_6_35,VDD,Metal1,24.2490,40.9810,1.199995
FILLER_6_28,VDD,Metal1,20.8890,40.9810,1.199998
FILLER_6_21,VDD,Metal1,17.5290,40.9810,1.199998
FILLER_6_14,VDD,Metal1,14.1690,40.9810,1.199997
FILLER_6_7,VDD,Metal1,10.8090,40.9810,1.199996
FILLER_6_0,VDD,Metal1,7.4490,40.9810,1.199996
FILLER_5_307,VDD,Metal1,153.6000,34.0200,1.199984
FILLER_5_303,VDD,Metal1,152.1710,34.6160,1.199988
FILLER_5_296,VDD,Metal1,149.5290,34.6180,1.199988
FILLER_5_289,VDD,Metal1,146.1690,34.6180,1.199988
FILLER_5_282,VDD,Metal1,142.8090,34.6180,1.199988
FILLER_5_275,VDD,Metal1,139.4490,34.6180,1.199988
FILLER_5_268,VDD,Metal1,136.0890,34.6180,1.199988
FILLER_5_261,VDD,Metal1,132.7290,34.6180,1.199988
FILLER_5_254,VDD,Metal1,129.3690,34.6180,1.199989
FILLER_5_247,VDD,Metal1,126.0090,34.6180,1.199989
FILLER_5_240,VDD,Metal1,122.6490,34.6180,1.199989
FILLER_5_233,VDD,Metal1,119.2890,34.6180,1.199989
FILLER_5_226,VDD,Metal1,115.9290,34.6180,1.199989
FILLER_5_219,VDD,Metal1,112.5690,34.6180,1.199990
FILLER_5_212,VDD,Metal1,109.2090,34.6180,1.199990
FILLER_5_205,VDD,Metal1,105.8490,34.6180,1.199990
FILLER_5_198,VDD,Metal1,101.7710,34.6160,1.199990
FILLER_5_191,VDD,Metal1,99.1290,34.6180,1.199990
FILLER_5_180,VDD,Metal1,93.8490,34.6180,1.199990
FILLER_5_152,VDD,Metal1,78.9600,34.0200,1.199918
FILLER_5_105,VDD,Metal1,56.4000,34.0200,1.199919
FILLER_5_98,VDD,Metal1,54.4890,34.6180,1.199919
FILLER_5_91,VDD,Metal1,51.1290,34.6180,1.199920
FILLER_5_77,VDD,Metal1,43.6910,34.6160,1.199920
FILLER_5_70,VDD,Metal1,41.0490,34.6180,1.199920
FILLER_5_63,VDD,Metal1,37.6890,34.6180,1.199957
FILLER_5_56,VDD,Metal1,34.3290,34.6180,1.199978
FILLER_5_49,VDD,Metal1,30.9690,34.6180,1.199978
FILLER_5_42,VDD,Metal1,27.6090,34.6180,1.199984
FILLER_5_35,VDD,Metal1,24.2490,34.6180,1.199991
FILLER_5_28,VDD,Metal1,20.8890,34.6180,1.199997
FILLER_5_21,VDD,Metal1,17.5290,34.6180,1.199996
FILLER_5_14,VDD,Metal1,14.1690,34.6180,1.199996
FILLER_5_7,VDD,Metal1,10.8090,34.6180,1.199995
FILLER_5_0,VDD,Metal1,7.4490,34.6180,1.199994
FILLER_4_301,VDD,Metal1,151.2110,33.4230,1.199988
FILLER_4_294,VDD,Metal1,148.5690,33.4210,1.199988
FILLER_4_287,VDD,Metal1,145.2090,33.4210,1.199988
FILLER_4_280,VDD,Metal1,141.8490,33.4210,1.199988
FILLER_4_273,VDD,Metal1,138.4890,33.4210,1.199988
FILLER_4_266,VDD,Metal1,135.1290,33.4210,1.199988
FILLER_4_259,VDD,Metal1,131.7690,33.4210,1.199989
FILLER_4_252,VDD,Metal1,128.4090,33.4210,1.199989
FILLER_4_245,VDD,Metal1,125.0490,33.4210,1.199989
FILLER_4_238,VDD,Metal1,121.6890,33.4210,1.199989
FILLER_4_231,VDD,Metal1,118.3290,33.4210,1.199989
FILLER_4_224,VDD,Metal1,114.9690,33.4210,1.199989
FILLER_4_217,VDD,Metal1,111.6090,33.4210,1.199990
FILLER_4_166,VDD,Metal1,85.9200,34.0200,1.199918
FILLER_4_97,VDD,Metal1,52.8000,34.0200,1.199920
FILLER_4_63,VDD,Metal1,36.9710,33.4230,1.199957
