Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_7_221,VSS,Metal1,113.5260,44.8990,0.000014
FILLER_7_214,VSS,Metal1,110.1660,44.8990,0.000014
FILLER_7_207,VSS,Metal1,106.8060,44.8990,0.000006
FILLER_7_200,VSS,Metal1,103.4460,44.8990,0.000006
FILLER_7_193,VSS,Metal1,100.0860,44.8990,0.000005
FILLER_7_153,VSS,Metal1,79.4400,45.3600,0.000015
FILLER_7_144,VSS,Metal1,75.3600,45.3600,0.000019
FILLER_7_128,VSS,Metal1,67.4400,45.3600,0.000019
FILLER_7_126,VSS,Metal1,66.7200,45.3600,0.000017
FILLER_7_92,VSS,Metal1,50.4000,45.3600,0.000011
FILLER_7_88,VSS,Metal1,48.9480,44.9830,0.000011
FILLER_7_81,VSS,Metal1,46.3260,44.8990,0.000009
FILLER_7_74,VSS,Metal1,42.9660,44.8990,0.000009
FILLER_7_67,VSS,Metal1,39.6060,44.8990,0.000009
FILLER_7_60,VSS,Metal1,36.2460,44.8990,0.000009
FILLER_7_53,VSS,Metal1,31.6800,45.3600,0.000005
FILLER_7_46,VSS,Metal1,29.5260,44.8990,0.000003
FILLER_7_39,VSS,Metal1,26.1660,44.8990,0.000003
FILLER_7_32,VSS,Metal1,22.8060,44.8990,0.000003
FILLER_7_25,VSS,Metal1,19.4460,44.8990,0.000003
FILLER_7_18,VSS,Metal1,16.0860,44.8990,0.000003
FILLER_7_11,VSS,Metal1,12.7260,44.8990,0.000003
FILLER_7_4,VSS,Metal1,9.3660,44.8990,0.000003
FILLER_6_307,VSS,Metal1,153.6000,37.8000,0.000003
FILLER_6_303,VSS,Metal1,152.1480,38.1760,0.000003
FILLER_6_296,VSS,Metal1,149.5260,38.2600,0.000003
FILLER_6_289,VSS,Metal1,146.1660,38.2600,0.000003
FILLER_6_282,VSS,Metal1,142.8060,38.2600,0.000003
FILLER_6_275,VSS,Metal1,139.4460,38.2600,0.000003
FILLER_6_268,VSS,Metal1,136.0860,38.2600,0.000003
FILLER_6_261,VSS,Metal1,132.7260,38.2600,0.000003
FILLER_6_254,VSS,Metal1,129.3660,38.2600,0.000003
FILLER_6_247,VSS,Metal1,126.0060,38.2600,0.000003
FILLER_6_240,VSS,Metal1,122.6460,38.2600,0.000003
FILLER_6_233,VSS,Metal1,119.2860,38.2600,0.000002
FILLER_6_226,VSS,Metal1,115.9260,38.2600,0.000002
FILLER_6_189,VSS,Metal1,96.7200,37.8000,0.000041
FILLER_6_185,VSS,Metal1,95.5080,38.1760,0.000042
FILLER_6_178,VSS,Metal1,92.8860,38.2600,0.000042
FILLER_6_171,VSS,Metal1,89.5260,38.2600,0.000044
FILLER_6_160,VSS,Metal1,84.2460,38.2600,0.000044
FILLER_6_153,VSS,Metal1,80.8860,38.2600,0.000044
FILLER_6_142,VSS,Metal1,75.6060,38.2600,0.000043
FILLER_6_117,VSS,Metal1,63.6060,38.2600,0.000042
FILLER_6_113,VSS,Metal1,60.2400,37.8000,0.000038
FILLER_6_111,VSS,Metal1,59.5200,37.8000,0.000038
FILLER_6_104,VSS,Metal1,57.3660,38.2600,0.000037
FILLER_6_70,VSS,Metal1,40.3080,38.1760,0.000026
FILLER_6_63,VSS,Metal1,37.6860,38.2600,0.000009
FILLER_6_56,VSS,Metal1,34.3260,38.2600,0.000008
FILLER_6_49,VSS,Metal1,30.9660,38.2600,0.000006
FILLER_6_42,VSS,Metal1,27.6060,38.2600,0.000004
FILLER_6_35,VSS,Metal1,24.2460,38.2600,0.000002
FILLER_6_28,VSS,Metal1,20.8860,38.2600,0.000002
FILLER_6_21,VSS,Metal1,17.5260,38.2600,0.000002
FILLER_6_14,VSS,Metal1,14.1660,38.2600,0.000002
FILLER_6_7,VSS,Metal1,10.8060,38.2600,0.000002
FILLER_6_0,VSS,Metal1,7.4460,38.2600,0.000002
FILLER_5_307,VSS,Metal1,153.6000,37.8000,0.000003
FILLER_5_303,VSS,Metal1,152.1480,37.4230,0.000003
FILLER_5_296,VSS,Metal1,149.5260,37.3390,0.000003
FILLER_5_289,VSS,Metal1,146.1660,37.3390,0.000003
FILLER_5_282,VSS,Metal1,142.8060,37.3390,0.000003
FILLER_5_275,VSS,Metal1,139.4460,37.3390,0.000003
FILLER_5_268,VSS,Metal1,136.0860,37.3390,0.000003
FILLER_5_261,VSS,Metal1,132.7260,37.3390,0.000003
FILLER_5_254,VSS,Metal1,129.3660,37.3390,0.000003
FILLER_5_247,VSS,Metal1,126.0060,37.3390,0.000003
FILLER_5_240,VSS,Metal1,122.6460,37.3390,0.000003
FILLER_5_233,VSS,Metal1,119.2860,37.3390,0.000002
FILLER_5_226,VSS,Metal1,115.9260,37.3390,0.000002
FILLER_5_219,VSS,Metal1,112.5660,37.3390,0.000002
FILLER_5_212,VSS,Metal1,109.2060,37.3390,0.000002
FILLER_5_205,VSS,Metal1,105.8460,37.3390,0.000002
FILLER_5_198,VSS,Metal1,101.7480,37.4230,0.000002
FILLER_5_191,VSS,Metal1,99.1260,37.3390,0.000040
FILLER_5_180,VSS,Metal1,93.8460,37.3390,0.000042
FILLER_5_152,VSS,Metal1,78.9600,37.8000,0.000044
FILLER_5_105,VSS,Metal1,56.4000,37.8000,0.000037
FILLER_5_98,VSS,Metal1,54.4860,37.3390,0.000031
FILLER_5_91,VSS,Metal1,51.1260,37.3390,0.000029
FILLER_5_77,VSS,Metal1,43.6680,37.4230,0.000029
FILLER_5_70,VSS,Metal1,41.0460,37.3390,0.000026
FILLER_5_63,VSS,Metal1,37.6860,37.3390,0.000009
FILLER_5_56,VSS,Metal1,34.3260,37.3390,0.000008
FILLER_5_49,VSS,Metal1,30.9660,37.3390,0.000006
FILLER_5_42,VSS,Metal1,27.6060,37.3390,0.000004
FILLER_5_35,VSS,Metal1,24.2460,37.3390,0.000002
FILLER_5_28,VSS,Metal1,20.8860,37.3390,0.000002
FILLER_5_21,VSS,Metal1,17.5260,37.3390,0.000002
FILLER_5_14,VSS,Metal1,14.1660,37.3390,0.000002
FILLER_5_7,VSS,Metal1,10.8060,37.3390,0.000002
FILLER_5_0,VSS,Metal1,7.4460,37.3390,0.000002
FILLER_4_301,VSS,Metal1,151.1880,30.6160,0.000030
FILLER_4_294,VSS,Metal1,148.5660,30.7000,0.000029
FILLER_4_287,VSS,Metal1,145.2060,30.7000,0.000028
FILLER_4_280,VSS,Metal1,141.8460,30.7000,0.000027
FILLER_4_273,VSS,Metal1,138.4860,30.7000,0.000025
FILLER_4_266,VSS,Metal1,135.1260,30.7000,0.000024
FILLER_4_259,VSS,Metal1,131.7660,30.7000,0.000023
FILLER_4_252,VSS,Metal1,128.4060,30.7000,0.000022
FILLER_4_245,VSS,Metal1,125.0460,30.7000,0.000021
FILLER_4_238,VSS,Metal1,121.6860,30.7000,0.000019
FILLER_4_231,VSS,Metal1,118.3260,30.7000,0.000018
FILLER_4_224,VSS,Metal1,114.9660,30.7000,0.000017
FILLER_4_217,VSS,Metal1,111.6060,30.7000,0.000016
FILLER_4_166,VSS,Metal1,85.9200,30.2400,0.000092
FILLER_4_97,VSS,Metal1,52.8000,30.2400,0.000106
FILLER_4_63,VSS,Metal1,36.9480,30.6160,0.000102
FILLER_4_46,VSS,Metal1,29.5260,30.7000,0.000008
FILLER_4_39,VSS,Metal1,26.1660,30.7000,0.000008
FILLER_4_32,VSS,Metal1,22.8060,30.7000,0.000008
FILLER_4_25,VSS,Metal1,19.4460,30.7000,0.000008
FILLER_4_18,VSS,Metal1,16.0860,30.7000,0.000008
FILLER_4_11,VSS,Metal1,12.7260,30.7000,0.000008
FILLER_4_4,VSS,Metal1,9.3660,30.7000,0.000008
FILLER_3_307,VSS,Metal1,153.6000,30.2400,0.000035
FILLER_3_300,VSS,Metal1,151.4460,29.7790,0.000030
FILLER_3_293,VSS,Metal1,148.0860,29.7790,0.000029
FILLER_3_286,VSS,Metal1,144.7260,29.7790,0.000028
FILLER_3_279,VSS,Metal1,141.3660,29.7790,0.000027
FILLER_3_272,VSS,Metal1,138.0060,29.7790,0.000025
FILLER_3_265,VSS,Metal1,134.6460,29.7790,0.000024
FILLER_3_258,VSS,Metal1,131.2860,29.7790,0.000023
FILLER_3_251,VSS,Metal1,127.9260,29.7790,0.000022
FILLER_3_244,VSS,Metal1,124.5660,29.7790,0.000021
FILLER_3_237,VSS,Metal1,121.2060,29.7790,0.000019
FILLER_3_230,VSS,Metal1,117.8460,29.7790,0.000018
FILLER_3_223,VSS,Metal1,114.4860,29.7790,0.000017
FILLER_3_216,VSS,Metal1,111.1260,29.7790,0.000016
FILLER_3_209,VSS,Metal1,107.7660,29.7790,0.000014
FILLER_3_202,VSS,Metal1,104.4060,29.7790,0.000014
FILLER_3_195,VSS,Metal1,101.0460,29.7790,0.000011
FILLER_3_190,VSS,Metal1,97.4400,30.2400,0.000048
FILLER_3_185,VSS,Metal1,94.8000,30.2400,0.000079
FILLER_3_178,VSS,Metal1,92.8860,29.7790,0.000085
FILLER_3_91,VSS,Metal1,49.9200,30.2400,0.000103
FILLER_3_87,VSS,Metal1,48.4680,29.8630,0.000103
FILLER_3_51,VSS,Metal1,30.4800,30.2400,0.000008
FILLER_3_49,VSS,Metal1,29.7600,30.2400,0.000008
FILLER_3_42,VSS,Metal1,27.6060,29.7790,0.000008
FILLER_3_35,VSS,Metal1,24.2460,29.7790,0.000008
FILLER_3_28,VSS,Metal1,20.8860,29.7790,0.000008
FILLER_3_21,VSS,Metal1,17.5260,29.7790,0.000008
FILLER_3_14,VSS,Metal1,14.1660,29.7790,0.000008
FILLER_3_7,VSS,Metal1,10.8060,29.7790,0.000008
FILLER_3_0,VSS,Metal1,7.4460,29.7790,0.000008
FILLER_2_308,VSS,Metal1,153.8400,22.6800,0.000096
FILLER_2_304,VSS,Metal1,152.6280,23.0560,0.000096
FILLER_2_297,VSS,Metal1,150.0060,23.1400,0.000095
FILLER_2_290,VSS,Metal1,146.6460,23.1400,0.000095
FILLER_2_283,VSS,Metal1,143.2860,23.1400,0.000095
FILLER_2_276,VSS,Metal1,139.9260,23.1400,0.000095
FILLER_2_269,VSS,Metal1,136.5660,23.1400,0.000095
FILLER_2_262,VSS,Metal1,133.2060,23.1400,0.000095
FILLER_2_255,VSS,Metal1,129.8460,23.1400,0.000095
FILLER_2_250,VSS,Metal1,126.0000,22.6800,0.000095
FILLER_2_246,VSS,Metal1,124.7880,23.0560,0.000095
FILLER_2_239,VSS,Metal1,122.1660,23.1400,0.000095
FILLER_2_232,VSS,Metal1,118.8060,23.1400,0.000028
FILLER_2_225,VSS,Metal1,115.4460,23.1400,0.000027
FILLER_2_218,VSS,Metal1,112.0860,23.1400,0.000026
FILLER_2_211,VSS,Metal1,108.7260,23.1400,0.000024
FILLER_2_204,VSS,Metal1,105.3660,23.1400,0.000023
FILLER_2_170,VSS,Metal1,87.6000,22.6800,0.000025
FILLER_2_159,VSS,Metal1,82.5600,22.6800,0.000025
FILLER_2_132,VSS,Metal1,69.6000,22.6800,0.000026
FILLER_2_94,VSS,Metal1,51.3600,22.6800,0.000027
FILLER_2_82,VSS,Metal1,45.3600,22.6800,0.000027
FILLER_2_80,VSS,Metal1,44.6400,22.6800,0.000027
FILLER_2_49,VSS,Metal1,29.5200,22.6800,0.000010
FILLER_2_42,VSS,Metal1,27.6060,23.1400,0.000002
FILLER_2_35,VSS,Metal1,24.2460,23.1400,0.000002
FILLER_2_28,VSS,Metal1,20.8860,23.1400,0.000002
FILLER_2_21,VSS,Metal1,17.5260,23.1400,0.000002
FILLER_2_14,VSS,Metal1,14.1660,23.1400,0.000002
FILLER_2_7,VSS,Metal1,10.8060,23.1400,0.000002
FILLER_2_0,VSS,Metal1,7.4460,23.1400,0.000002
FILLER_1_303,VSS,Metal1,151.6800,22.6800,0.000096
