 time            v(vo)          
 3.56987528e-06  7.64776686e-01 
 3.63319598e-06  7.64773746e-01 
 3.75983740e-06  7.64776676e-01 
 4.00000000e-06  7.64773732e-01 
 4.00000100e-06  7.64774118e-01 
 4.00000300e-06  7.64774782e-01 
 4.00000700e-06  7.64774823e-01 
 4.00001000e-06  7.64773679e-01 
 4.00001051e-06  7.64773359e-01 
 4.00001153e-06  7.64772667e-01 
 4.00001357e-06  7.64771190e-01 
 4.00001764e-06  7.64768706e-01 
 4.00002580e-06  7.64766426e-01 
 4.00004210e-06  7.64767689e-01 
 4.00006998e-06  7.64774448e-01 
 4.00009976e-06  7.64785122e-01 
 4.00013673e-06  7.64799119e-01 
 4.00019436e-06  7.64816209e-01 
 4.00026168e-06  7.64832009e-01 
 4.00039633e-06  7.64857161e-01 
 4.00059396e-06  7.64883980e-01 
 4.00087538e-06  7.64897767e-01 
 4.00135584e-06  7.64908155e-01 
 4.00223844e-06  7.64923615e-01 
 4.00400366e-06  7.64960057e-01 
 4.00753409e-06  7.65142487e-01 
 4.01388346e-06  7.73027227e-01 
 4.02129758e-06  7.85503295e-01 
 4.02845279e-06  7.89224526e-01 
 4.03736020e-06  7.89704826e-01 
 4.04893190e-06  7.90208304e-01 
 4.07207531e-06  7.91260835e-01 
 4.11043351e-06  7.92998610e-01 
 4.18714989e-06  7.96471614e-01 
 4.34058267e-06  8.03393235e-01 
 4.50001000e-06  8.10554718e-01 
 4.50001100e-06  8.10554563e-01 
 4.50001300e-06  8.10554115e-01 
 4.50001700e-06  8.10552803e-01 
 4.50002000e-06  8.10551748e-01 
 4.50002080e-06  8.10551706e-01 
 4.50002240e-06  8.10551798e-01 
 4.50002560e-06  8.10552678e-01 
 4.50003200e-06  8.10555371e-01 
 4.50004480e-06  8.10560005e-01 
 4.50007040e-06  8.10564933e-01 
 4.50011737e-06  8.10568916e-01 
 4.50021131e-06  8.10542733e-01 
 4.50035499e-06  8.10359949e-01 
 4.50045865e-06  8.10213848e-01 
 4.50056919e-06  8.10189248e-01 
 4.50074172e-06  8.10202848e-01 
 4.50091055e-06  8.10195159e-01 
 4.50119365e-06  8.10202151e-01 
 4.50153622e-06  8.10197232e-01 
 4.50202236e-06  8.10201782e-01 
 4.50280297e-06  8.10197737e-01 
 4.50404725e-06  8.10201541e-01 
 4.50630673e-06  8.10197866e-01 
 4.51013338e-06  8.10201464e-01 
 4.51678452e-06  8.10197907e-01 
 4.52844610e-06  8.10201438e-01 
 4.55176926e-06  8.10197917e-01 
 4.59841557e-06  8.10201428e-01 
 4.69170820e-06  8.10197914e-01 
 4.87829346e-06  8.10201413e-01 
 5.00000000e-06  8.10197900e-01 
 5.00000100e-06  8.10198298e-01 
 5.00000300e-06  8.10198992e-01 
 5.00000700e-06  8.10199099e-01 
 5.00001000e-06  8.10197993e-01 
 5.00001051e-06  8.10197678e-01 
 5.00001153e-06  8.10196997e-01 
 5.00001357e-06  8.10195540e-01 
 5.00001765e-06  8.10193085e-01 
 5.00002581e-06  8.10190838e-01 
 5.00004212e-06  8.10192123e-01 
 5.00006998e-06  8.10198874e-01 
 5.00009976e-06  8.10209522e-01 
 5.00013674e-06  8.10223492e-01 
 5.00019439e-06  8.10240556e-01 
 5.00026168e-06  8.10256324e-01 
 5.00039628e-06  8.10281384e-01 
 5.00059415e-06  8.10308016e-01 
 5.00087564e-06  8.10321624e-01 
 5.00135650e-06  8.10331988e-01 
 5.00223984e-06  8.10347603e-01 
 5.00400650e-06  8.10384168e-01 
 5.00753982e-06  8.10475486e-01 
 5.01391567e-06  8.17053548e-01 
